Manufacturer,Handset Type,Count
Apple,Apple iPhone 6S (A1688),9401
Apple,Apple iPhone 6 (A1586),9004
Apple,Apple iPhone 7 (A1778),6301
Apple,Apple iPhone Se (A1723),5176
Apple,Apple iPhone 8 (A1905),4985
Samsung,Samsung Galaxy S8 (Sm-G950F),4504
Samsung,Samsung Galaxy A5 Sm-A520F,3716
Samsung,Samsung Galaxy J5 (Sm-J530),3689
Samsung,Samsung Galaxy J3 (Sm-J330),3476
Samsung,Samsung Galaxy S7 (Sm-G930X),3194
Huawei,Huawei B528S-23A,19752
Huawei,Huawei E5180,2079
Huawei,Huawei P20 Lite Huawei Nova 3E,2015
Huawei,Huawei P20,1476
Huawei,Huawei Y6 2018,996
